Date,First Trust Canada AlphaDEX_etf_Open_average,First Trust Canada AlphaDEX_etf_Open_max,First Trust Canada AlphaDEX_etf_Open_min,First Trust Canada AlphaDEX_etf_Open_volatility,First Trust Canada AlphaDEX_etf_Open_change,First Trust Canada AlphaDEX_etf_High_average,First Trust Canada AlphaDEX_etf_High_max,First Trust Canada AlphaDEX_etf_High_min,First Trust Canada AlphaDEX_etf_High_volatility,First Trust Canada AlphaDEX_etf_High_change,First Trust Canada AlphaDEX_etf_Low_average,First Trust Canada AlphaDEX_etf_Low_max,First Trust Canada AlphaDEX_etf_Low_min,First Trust Canada AlphaDEX_etf_Low_volatility,First Trust Canada AlphaDEX_etf_Low_change,First Trust Canada AlphaDEX_etf_Close_average,First Trust Canada AlphaDEX_etf_Close_max,First Trust Canada AlphaDEX_etf_Close_min,First Trust Canada AlphaDEX_etf_Close_volatility,First Trust Canada AlphaDEX_etf_Close_change
2018-03-25,24.33,24.33,24.33,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-04-01,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-04-08,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-04-15,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-04-22,25.85,25.85,25.85,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-04-29,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-05-06,26.71,26.71,26.71,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.72,26.72,26.72,0.0,0.0
2018-05-13,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-05-20,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-05-27,26.69,26.69,26.69,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-06-03,27.03,27.03,27.03,0.0,0.0,27.11,27.11,27.11,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-06-10,26.29,26.29,26.29,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-06-17,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-06-24,26.0,26.0,26.0,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-07-01,26.01,26.01,26.01,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.3,26.3,26.3,0.0,0.0
2018-07-08,26.48,26.48,26.48,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-07-15,26.08,26.08,26.08,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-07-22,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-07-29,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-08-05,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-08-12,24.95,24.95,24.95,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-08-19,25.54,25.54,25.54,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-08-26,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2018-09-02,24.15,24.15,24.15,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-09-09,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-09-16,25.51,25.51,25.51,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-09-23,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-09-30,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2018-10-07,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2018-10-14,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2018-10-21,21.96,21.96,21.96,0.0,0.0,22.23,22.23,22.23,0.0,0.0,21.96,21.96,21.96,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-10-28,22.97,22.97,22.97,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0
2018-11-04,22.33,22.33,22.33,0.0,0.0,22.33,22.33,22.33,0.0,0.0,21.98,21.98,21.98,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2018-11-11,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2018-11-18,21.52,21.52,21.52,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0
2018-11-25,21.35,21.35,21.35,0.0,0.0,21.55,21.55,21.55,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-12-02,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.5,21.5,21.5,0.0,0.0
2018-12-09,21.08,21.08,21.08,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2018-12-16,20.0,20.0,20.0,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-12-23,20.18,20.18,20.18,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2018-12-30,20.74,20.74,20.74,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2019-01-06,21.88,21.88,21.88,0.0,0.0,21.97,21.97,21.97,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2019-01-13,22.39,22.39,22.39,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2019-01-20,22.28,22.28,22.28,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2019-01-27,22.95,22.95,22.95,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2019-02-03,22.97,22.97,22.97,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.93,22.93,22.93,0.0,0.0
2019-02-10,23.24,23.24,23.24,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2019-02-17,23.85,23.85,23.85,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2019-02-24,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2019-03-03,22.83,22.83,22.83,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.76,22.76,22.76,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2019-03-10,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2019-03-17,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2019-03-24,23.14,23.14,23.14,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.1,23.1,23.1,0.0,0.0
2019-03-31,23.38,23.38,23.38,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2019-04-07,23.69,23.69,23.69,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2019-04-14,23.72,23.72,23.72,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2019-04-21,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2019-04-28,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2019-05-05,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2019-05-12,22.84,22.84,22.84,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2019-05-19,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2019-05-26,22.25,22.25,22.25,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2019-06-02,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-06-09,23.17,23.17,23.17,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2019-06-16,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2019-06-23,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2019-06-30,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2019-07-07,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2019-07-14,23.84,23.84,23.84,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2019-07-21,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2019-07-28,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2019-08-04,22.38,22.38,22.38,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.31,22.31,22.31,0.0,0.0
2019-08-11,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2019-08-18,22.61,22.61,22.61,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2019-08-25,22.89,22.89,22.89,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2019-09-01,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2019-09-08,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2019-09-15,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2019-09-22,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-09-29,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0
2019-10-06,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2019-10-13,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2019-10-20,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2019-10-27,23.38,23.38,23.38,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2019-11-03,23.75,23.75,23.75,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2019-11-10,23.96,23.96,23.96,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.96,23.96,23.96,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2019-11-17,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2019-11-24,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2019-12-01,24.12,24.12,24.12,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2019-12-08,24.14,24.14,24.14,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2019-12-15,24.62,24.62,24.62,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2019-12-22,24.58,24.58,24.58,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2019-12-29,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.91,24.91,24.91,0.0,0.0
