Date,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Open_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_High_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Low_change,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_average,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_max,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_min,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_volatility,PowerShares PureBeta US Aggregate Bond PortfolioEtf_Close_change
2018-03-25,24.39,24.39,24.39,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-04-01,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-04-08,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2018-04-15,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-04-22,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-04-29,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-05-06,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-05-13,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-05-20,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-05-27,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-06-03,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-06-10,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-06-17,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-06-24,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-07-01,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-07-08,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-07-15,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-07-22,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-07-29,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2018-08-05,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-08-12,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-08-19,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-08-26,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-09-02,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-09-09,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-09-16,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2018-09-23,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2018-09-30,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2018-10-07,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-10-14,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2018-10-21,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-10-28,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2018-11-04,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2018-11-11,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2018-11-18,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-11-25,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-12-02,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-12-09,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2018-12-16,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-12-23,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2018-12-30,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2019-01-06,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2019-01-13,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.22,24.22,24.22,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2019-01-20,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2019-01-27,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2019-02-03,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2019-02-10,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2019-02-17,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2019-02-24,24.3,24.3,24.3,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2019-03-03,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2019-03-10,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2019-03-17,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2019-03-24,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2019-03-31,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2019-04-07,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2019-04-14,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2019-04-21,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2019-04-28,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2019-05-05,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2019-05-12,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2019-05-19,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2019-05-26,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2019-06-02,25.21,25.21,25.21,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2019-06-09,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2019-06-16,25.36,25.36,25.36,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2019-06-23,25.41,25.41,25.41,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2019-06-30,25.35,25.35,25.35,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2019-07-07,25.26,25.26,25.26,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2019-07-14,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2019-07-21,25.35,25.35,25.35,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2019-07-28,25.49,25.49,25.49,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2019-08-04,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2019-08-11,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2019-08-18,25.86,25.86,25.86,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2019-08-25,25.9,25.9,25.9,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2019-09-01,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2019-09-08,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2019-09-15,25.74,25.74,25.74,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-09-22,25.77,25.77,25.77,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-09-29,25.98,25.98,25.98,0.0,0.0,25.98,25.98,25.98,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2019-10-06,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2019-10-13,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2019-10-20,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-10-27,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2019-11-03,25.53,25.53,25.53,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2019-11-10,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-11-17,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2019-11-24,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2019-12-01,25.61,25.61,25.61,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2019-12-08,25.67,25.67,25.67,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2019-12-15,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2019-12-22,25.66,25.66,25.66,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-12-29,25.77,25.77,25.77,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2020-01-05,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2020-01-12,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2020-01-19,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2020-01-26,26.08,26.08,26.08,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2020-02-02,26.09,26.09,26.09,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2020-02-09,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2020-02-16,26.23,26.23,26.23,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2020-02-23,26.38,26.38,26.38,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2020-03-01,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2020-03-08,26.12,26.12,26.12,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2020-03-15,25.45,25.45,25.45,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2020-03-22,26.31,26.31,26.31,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2020-03-29,26.37,26.37,26.37,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2020-04-05,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2020-04-12,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2020-04-19,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2020-04-26,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2020-05-03,26.7,26.7,26.7,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2020-05-10,26.77,26.77,26.77,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0
2020-05-17,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2020-05-24,26.81,26.81,26.81,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2020-05-31,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2020-06-07,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2020-06-14,26.86,26.86,26.86,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2020-06-21,26.87,26.87,26.87,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2020-06-28,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2020-07-05,26.97,26.97,26.97,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.98,26.98,26.98,0.0,0.0
