Date,PowerShares PureBeta FTSE EM PortfolioEtf_Open_average,PowerShares PureBeta FTSE EM PortfolioEtf_Open_max,PowerShares PureBeta FTSE EM PortfolioEtf_Open_min,PowerShares PureBeta FTSE EM PortfolioEtf_Open_volatility,PowerShares PureBeta FTSE EM PortfolioEtf_Open_change,PowerShares PureBeta FTSE EM PortfolioEtf_High_average,PowerShares PureBeta FTSE EM PortfolioEtf_High_max,PowerShares PureBeta FTSE EM PortfolioEtf_High_min,PowerShares PureBeta FTSE EM PortfolioEtf_High_volatility,PowerShares PureBeta FTSE EM PortfolioEtf_High_change,PowerShares PureBeta FTSE EM PortfolioEtf_Low_average,PowerShares PureBeta FTSE EM PortfolioEtf_Low_max,PowerShares PureBeta FTSE EM PortfolioEtf_Low_min,PowerShares PureBeta FTSE EM PortfolioEtf_Low_volatility,PowerShares PureBeta FTSE EM PortfolioEtf_Low_change,PowerShares PureBeta FTSE EM PortfolioEtf_Close_average,PowerShares PureBeta FTSE EM PortfolioEtf_Close_max,PowerShares PureBeta FTSE EM PortfolioEtf_Close_min,PowerShares PureBeta FTSE EM PortfolioEtf_Close_volatility,PowerShares PureBeta FTSE EM PortfolioEtf_Close_change
2018-07-01,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-07-08,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-07-15,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-07-22,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-07-29,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-08-05,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-08-12,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-08-19,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-08-26,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-09-02,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-09-09,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-09-16,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-09-23,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-09-30,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-10-07,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-10-14,22.37,22.37,22.37,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.37,22.37,22.37,0.0,0.0
2018-10-21,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-10-28,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-11-04,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-11-11,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-11-18,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-11-25,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-12-02,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2018-12-09,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2018-12-16,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0
2018-12-23,21.83,21.83,21.83,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2018-12-30,22.22,22.22,22.22,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2019-01-06,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2019-01-13,23.26,23.26,23.26,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2019-01-20,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2019-01-27,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2019-02-03,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2019-02-10,23.53,23.53,23.53,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.53,23.53,23.53,0.0,0.0
2019-02-17,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0
2019-02-24,24.37,24.37,24.37,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2019-03-03,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0
2019-03-10,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2019-03-17,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2019-03-24,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2019-03-31,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2019-04-07,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2019-04-14,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2019-04-21,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2019-04-28,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2019-05-05,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2019-05-12,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2019-05-19,22.77,22.77,22.77,0.0,0.0,22.81,22.81,22.81,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.78,22.78,22.78,0.0,0.0
2019-05-26,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2019-06-02,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2019-06-09,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2019-06-16,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-06-23,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2019-06-30,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-07-07,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2019-07-14,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2019-07-21,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2019-07-28,23.31,23.31,23.31,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.32,23.32,23.32,0.0,0.0
2019-08-04,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2019-08-11,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2019-08-18,22.32,22.32,22.32,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2019-08-25,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2019-09-01,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2019-09-08,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-09-15,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2019-09-22,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2019-09-29,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-10-06,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2019-10-13,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2019-10-20,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2019-10-27,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2019-11-03,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2019-11-10,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2019-11-17,24.04,24.04,24.04,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2019-11-24,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2019-12-01,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-12-08,24.8,24.8,24.8,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2019-12-15,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2019-12-22,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2019-12-29,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2020-01-05,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2020-01-12,26.16,26.16,26.16,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2020-01-19,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2020-01-26,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2020-02-02,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2020-02-09,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2020-02-16,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2020-02-23,22.48,22.48,22.48,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2020-03-01,22.71,22.71,22.71,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2020-03-08,20.33,20.33,20.33,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.33,20.33,20.33,0.0,0.0
2020-03-15,18.39,18.39,18.39,0.0,0.0,18.39,18.39,18.39,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2020-03-22,19.48,19.48,19.48,0.0,0.0,19.52,19.52,19.52,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2020-03-29,18.5,18.5,18.5,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.5,18.5,18.5,0.0,0.0,19.04,19.04,19.04,0.0,0.0
2020-04-05,20.04,20.04,20.04,0.0,0.0,20.04,20.04,20.04,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2020-04-12,20.16,20.16,20.16,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2020-04-19,19.83,19.83,19.83,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.83,19.83,19.83,0.0,0.0
2020-04-26,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2020-05-03,20.6,20.6,20.6,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2020-05-10,20.22,20.22,20.22,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2020-05-17,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0
2020-05-24,20.84,20.84,20.84,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.84,20.84,20.84,0.0,0.0,21.17,21.17,21.17,0.0,0.0
2020-05-31,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2020-06-07,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2020-06-14,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2020-06-21,22.51,22.51,22.51,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0
2020-06-28,23.11,23.11,23.11,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.11,23.11,23.11,0.0,0.0
2020-07-05,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0
